Time	 Feature Set	 Id	Training Time (s)	 Testing Set Classification Time (s)	 Training Set Classification Time (s)	Testing - CorrectRate	 Testing - Sensitivity	 Testing - Specificity	 Testing - SampleSize	 Training - CorrectRate	 Training - Sensitivity	 Training - Specificity	 Training - SampleSize	 Kernel	 PolynomialOrder	 KernelScale	 Standardize	 Solver	 BoxConstraint
2018_11_22_1_16_35	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_1_1_ISDA_500	0.0135	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	1	1	 ISDA	500
2018_11_22_1_16_35	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_1_1_ISDA_1000	0.0135	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	1	1	 ISDA	1000
2018_11_22_1_16_35	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_2_1_1_ISDA_10000	0.0136	0.0007	0.0009	0.9667	1	0.9231	30	1	1	1	122	polynomial	2	1	1	 ISDA	10000
2018_11_22_1_17_6	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_4_auto_0_ISDA_100	0.0136	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	 auto	0	 ISDA	100
2018_11_22_1_14_33	 2_7_16_21	 rbf_2_1_0_ISDA_500	0.0137	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	rbf	2	1	0	 ISDA	500
2018_11_22_1_17_6	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_ISDA_500	0.0137	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 ISDA	500
2018_11_22_1_17_6	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_ISDA_100	0.0138	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 ISDA	100
2018_11_22_1_17_6	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_ISDA_1000	0.0138	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 ISDA	1000
2018_11_22_1_17_6	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_ISDA_2000	0.0138	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 ISDA	2000
2018_11_22_1_14_29	 2_7_16_21	 polynomial_4_1_1_ISDA_1	0.0139	0.0007	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	4	1	1	 ISDA	1
2018_11_22_1_17_7	 1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28	 polynomial_3_auto_0_ISDA_10000	0.0139	0.0006	0.0008	0.9667	1	0.9231	30	1	1	1	122	polynomial	3	 auto	0	 ISDA	10000
